Time,Tweet,Comment,Retweet,Like,ImageLink
10:48 PM - 3 Aug 2018,b'Our latest innovation in #AI Technology - Codename LahAIna: High Speed Facial Recognition Technology for Realtime Video. #artificialintelligence #MachineLearning #computervision Original #Video Courtesy @Showtime \xe2\x80\x9cThe Affair\xe2\x80\x9dpic.twitter.com/orCqAjS7fO',0,2,6,('https://pbs.twimg.com/ext_tw_video_thumb/1025619368359522304/pu/img/7cFc3kqp49u5cL8-.jpg')
8:08 PM - 14 Jun 2018,b'Cave Drone Racing is baaack!!!https://twitter.com/IDRLdroneracing/status/1007456393547403264\xc2\xa0\xe2\x80\xa6',0,2,1,
7:54 PM - 14 Jun 2018,b'An awesome thing to see our friends at MDX @Dronefestcanada wear the cool blue IDRL S2 Jersey! Congratulations for the announcement of MDX 3.0 guys\nhttps://instagram.com/p/BkB0H2xFOBN/\xc2\xa0 #jerseys #drones #fpv #racing #sportswear #cool #blue #jersey #fpvracingpic.twitter.com/DgKXkpORW0',0,3,4,
11:44 PM - 8 Jun 2018,b'Just a few of the awesome features in the latest IDRL App v6.0.0. Available now for Android and iOS!\n\nGoogle Play Store - https://play.google.com/store/apps/details?id=com.onemartianway.idrl\xc2\xa0\xe2\x80\xa6\n\nApple App Store at - https://itunes.apple.com/in/app/idrl/id1299161140?mt=8\xc2\xa0\xe2\x80\xa6pic.twitter.com/FZKTMEDBoV',0,2,4,
11:07 AM - 6 Jun 2018,b'Our sincere and special thanks to pilots Siddharth Nayak FlyingSid Ashish Modasia Himadri Roy Nilesh Jivani for helping Team Mint cover this article on drone racing in India. Thank you Shweta Taneja for an excellent article.https://www.livemint.com/Leisure/hNtOG6m1NbvNjTIoH7X6LO/Working-with-drones-Still-not-a-career-for-most.html\xc2\xa0\xe2\x80\xa6',0,5,8,
10:17 PM - 12 May 2018,b'Excellent Feature on pilots Siddharth Nayak FlyingSid Jaidwaj Malhotra and Himadri Roy in today\xe2\x80\x99s @mid_day - Credits Kusumita Das\nhttps://www.mid-day.com/articles/meet-mumbais-youngsters-who-fiddle-with-new-obsession-drones/19415199\xc2\xa0\xe2\x80\xa6\n#idrl #droneracing #mumbai #drones #fpv #pilots #flight #education #article #media #sports #uav #flying #quadcopters #passion',0,3,5,
12:22 AM - 29 Apr 2018,b'Thank you @mohuadazzTOI from @timesofindia for this feature article on IDRL and the drone racing scene in India. Many thanks to pilots Ouroboros and FlyingSid for their valuable inputs. Read the full article at:https://timesofindia.indiatimes.com/city/mumbai/move-over-ipl-isl-fever-of-drone-racing-now-grips-mumbai/articleshow/63957083.cms\xc2\xa0\xe2\x80\xa6',0,7,7,
12:40 AM - 22 Apr 2018,b'Thank you @stuff_india for giving the required credits to IDRL which is the organization that has built the sport of drone racing from scratch in India and also held the first ever FPV drone racing competition back in October 2016. Do check our website for further info and press.https://twitter.com/stuff_india/status/987685199642353664\xc2\xa0\xe2\x80\xa6',0,5,7,
8:14 AM - 18 Apr 2018,b'IDRL Rotorrush Championships for Season 2 starting soon. Not yet aware of Rotorrush? See https://rotorrush.com\xc2\xa0. Download Rotorrush and be a part of the exclusive IDRL Rotorrush Team to represent India.https://youtu.be/ziOwZfsCG-Q\xc2\xa0',0,1,2,
5:32 AM - 6 Apr 2018,b'All smiles with the awesome Team SCRO at IDRL 11 at Udaan 2018. Thanks so much for the awesome hosting of IDRL\xe2\x80\x99s Mega Event of Season 2! #idrl #scro #team #teamwork #group #drone #droneracing #dronestagram #dronegear #dronelife #racing #competition #fpv #race #aipic.twitter.com/7cZk0DEmbt',0,2,6,
6:58 PM - 30 Mar 2018,b'IDRL 11 RaceWalk: http://youtu.be/y92TdGTTRNk?a\xc2\xa0 via @YouTube',0,0,0,
6:50 AM - 30 Mar 2018,b'IDRL 11 Test Livestream Wifi: http://youtu.be/zFVLIaw4k5E?a\xc2\xa0 via @YouTube',0,0,0,
3:12 AM - 30 Mar 2018,b'IDRL 11 @ SRM - VirtualWalk: http://youtu.be/ZLnKt0Zo-44?a\xc2\xa0 via @YouTube',0,0,0,
1:10 PM - 21 Mar 2018,b'Welcoming our Official FPV Cam Partner @CaddxOfficial #droneracing #drones #cameras #gear #quality #fpv #uav #Education #flying #camspic.twitter.com/0T3J7RUHwi',0,2,6,
8:41 AM - 26 Feb 2018,b'IDRL X RaceWalk @ BITS Pilani: http://youtu.be/1VG218FjqTk?a\xc2\xa0 via @YouTube',0,0,0,
8:20 PM - 18 Feb 2018,b'IDRL 9 Finals - FlyingSid Vs JDFPV | Millisecs apart!!!: http://youtu.be/9emKILs6yaM?a\xc2\xa0 via @YouTube',0,1,3,
7:21 AM - 18 Feb 2018,b'IDRL 9 RaceWalk - Kerala Drone Prix: http://youtu.be/88ezWGaHLCg?a\xc2\xa0 via @YouTube',0,0,3,
10:27 AM - 17 Feb 2018,b'IDRL 9 Interview with CrossfireFPV: http://youtu.be/EuVrN99MqbM?a\xc2\xa0 via @YouTube',0,0,0,
9:33 AM - 17 Feb 2018,b'IDRL 9 Kerala Drone Prix Interview with Runner up JDFPV: http://youtu.be/TmCiSFXt4E8?a\xc2\xa0 via @YouTube',0,0,2,
8:44 AM - 17 Feb 2018,b'IDRL 9 Interview with Champion FlyingSid: http://youtu.be/SeShBhBUTbo?a\xc2\xa0 via @YouTube',0,0,2,
2:40 AM - 10 Feb 2018,"b'Introducing IDRL X - The Ultimate Drone Racing Membership. Introductory X Offer - Upgrade before Feb 12 and get 1 month Free! https://droneracingindia.com/store\xc2\xa0. Get IDRL Points, Race Pass, Access to X Groups, Jerseys, Coupons, Varsity and more! #drones #education #droneracing #fpv #uav #aipic.twitter.com/cjL64mrB4d'",0,2,6,
