1:47 AM - 7 Jan 2020,At Tesla Giga Shanghai NSFW!!pic.twitter.com/1yrPyzJQGZ,"<div class=""PlayableMedia-player"" data-border-bottom-left-radius="""" data-border-bottom-right-radius="""" data-border-top-left-radius="""" data-border-top-right-radius="""" data-playable-media-url="""" data-use-b-version-of-react-player="""" data-use-player-precache="""" data-use-react-player="""" style=""padding-bottom: 100.0%; background-image:url('https://pbs.twimg.com/ext_tw_video_thumb/1214483498242674688/pu/img/TNe9fCJ8fdTiXBC4.jpg')"">
    </div>",7123,35918,292633
1:37 AM - 7 Jan 2020,cgi irlhttps://twitter.com/spacex/status/1214387122146177024 …,,986,3761,58654
6:29 PM - 6 Jan 2020,Falcon 9 first stage has landed on the Of Course I Still Love You droneship – SpaceX’s 48th successful landing of an orbital class rocket boosterpic.twitter.com/wLal1xfsjO,"<div class=""PlayableMedia-player"" data-border-bottom-left-radius="""" data-border-bottom-right-radius="""" data-border-top-left-radius="""" data-border-top-right-radius="""" data-playable-media-url="""" data-use-b-version-of-react-player="""" data-use-player-precache="""" data-use-react-player="""" style=""padding-bottom: 56.25%; background-image:url('https://pbs.twimg.com/amplify_video_thumb/1214373243542368256/img/sziP8s-FCQsfIjFg.jpg')"">
    </div>",458,4985,37216
4:35 PM - 4 Jan 2020,Wikigeniuspic.twitter.com/P0jM14hGrc,,2132,31289,303545
10:50 PM - 31 Dec 2019,Congratulations Tesla & SpaceX on great 2019! You rock!! Looking forward to epic 2020 ,,2222,8355,167232
10:33 PM - 31 Dec 2019,No one suspected his disguisepic.twitter.com/yHl4MDrjtn,,790,4945,75356
9:32 PM - 31 Dec 2019,Carlos Gone,,3273,18561,140037
8:01 AM - 31 Dec 2019,Tesla Model S gets another 'Car of the Decade' Award: 'Nothing Else Comes Close'https://www.teslarati.com/tesla-model-s-car-of-the-decade-2019/ …,,376,1305,12432
3:27 PM - 30 Dec 2019,Rest in peace Syd Mead. Your art will endure.,,550,2779,54194
1:18 AM - 30 Dec 2019,Barrel on domepic.twitter.com/kpSIJphbnk,,367,542,15971
10:17 PM - 29 Dec 2019,Almost three now. Boca team is crushing it! Starship has giant dome pic.twitter.com/qTN2TU02pb,"<div class=""PlayableMedia-player"" data-border-bottom-left-radius="""" data-border-bottom-right-radius="""" data-border-top-left-radius="""" data-border-top-right-radius="""" data-playable-media-url="""" data-use-b-version-of-react-player="""" data-use-player-precache="""" data-use-react-player="""" style=""padding-bottom: 100.0%; background-image:url('https://pbs.twimg.com/ext_tw_video_thumb/1211531653644013573/pu/img/ioIjLu5SDS7LJgg3.jpg')"">
    </div>",510,1331,29754
7:25 PM - 29 Dec 2019,"8 years later, the simulation is mostly real",,486,1198,29502
2:46 PM - 29 Dec 2019,Dam now rly want choc chip muffin,,1514,4986,75278
2:40 PM - 29 Dec 2019,pic.twitter.com/JejV2rBFrf,,3967,37707,285224
