channel_sr,channel_name,channel_genre,channel_language,channel_price,channel_quality
187,Surya Movies,Movies,Malayalam,11.00,SD
188,Kushi TV,Kids,Telugu,4.00,SD
189,SUN Life,GEC,Tamil,9.00,SD
190,Sun Music,Music,Tamil,6.00,SD
191,Sun News,News,Tamil,1.00,SD
192,Surya Music,Music,Malayalam,4.00,SD
193,SUN TV,GEC,Tamil,19.00,SD
194,Surya Comedy,Movies,Malayalam,4.00,SD
195,Surya TV,GEC,Malayalam,12.00,SD
196,Udaya Comedy,Movies,Kannada,6.00,SD
197,Udaya Movies,Movies,Kannada,16.00,SD
198,Udaya Music,Music,Kannada,6.00,SD
199,Udaya News,News,Kannada,0.10,SD
200,Udaya TV,GEC,Kannada,17.00,SD
201,Kochu TV,Kids,Malayalam,5.00,SD
202,Sun TV HD,GEC,Tamil,19.00,HD
203,KTV HD,Movies,Tamil,19.00,HD
204,Sun Music HD,Music,Tamil,19.00,HD
205,Gemini TV HD,GEC,Telugu,19.00,HD
206,Gemini Music HD,Music,Telugu,19.00,HD
207,Gemini Movies HD,Movies,Telugu,19.00,HD
208,Surya TV HD,GEC,Malayalam,19.00,HD
209,Udaya TV HD,GEC,Kannada,19.00,HD
210,Food Food TV,Infotainment,Hindi,1.00,SD
211,Cartoon Network,Kids,Hindi,4.25,SD
212,CNN International,News,English,0.50,SD
213,HBO,Movies,English,10.00,SD
214,POGO,Kids,Hindi,4.25,SD
215,Cartoon Network HD+,Kids,Hindi,10.00,HD
216,WB,Movies,English,1.00,SD
217,HBO HD,Movies,English,15.00,HD
218,CNN News 18,News,English,0.50,SD
219,CNBC Bajaar,News,Gujarati,1.00,SD
220,CNBC TV 18 Prime HD,News,English,1.00,HD
221,CNBC Awaaz,News,Hindi,1.00,SD
222,News 18 Tamil Nadu,News,Tamil,0.25,SD
223,News 18 Kerala,News,Malayalam,0.25,SD
224,News 18 Assam / North East,News,Assamese,0.25,SD
225,News 18 India,News,Hindi,1.00,SD
226,CNBC TV 18,News,English,4.00,SD
227,Aaj Tak,News,Hindi,0.75,SD
228,India Today,News,English,1.00,SD
229,AAJ Tak HD,News,Hindi,1.50,HD
230,Aaj Tak Tez,News,Hindi,0.25,SD
231,Colors,GEC,Hindi,19.00,SD
232,"Comedy Central (HDDistribution)",GEC,English,9.00,HD
233,MTV,Music,Hindi,3.00,SD
234,NICK,Kids,Hindi,6.00,SD
235,NICK JR,Kids,English,1.00,SD
236,SONIC,Kids,Hindi,2.00,SD
237,VH 1 (HD Distribution),Music,English,2.00,HD
238,Colors Infinity HD,GEC,English,9.00,HD
239,Colors Infinity,GEC,English,7.00,SD
240,Colors HD,GEC,Hindi,19.00,HD
241,NICKS HD+,Kids,Hindi,10.00,HD
242,Rishtey Cineplex,Movies,Hindi,3.00,SD
243,MTV Beats,Music,Hindi,0.50,SD
244,Colors Kannada HD,GEC,Kannada,19.00,HD
245,Colors Marathi HD,GEC,Marathi,17.00,HD
246,Colors Bangla HD,GEC,Bangla,14.00,HD
247,Colors Super,GEC,Kannada,3.00,SD
248,Colors Bangla,GEC,Bangla,7.00,SD
249,Colors Gujarati,GEC,Gujarati,5.00,SD
250,Colors Kannada,GEC,Kannada,19.00,SD
251,Colors Marathi,GEC,Marathi,10.00,SD
252,Colors Oriya,GEC,Oriya,6.00,SD
253,MTV Beats HD,Music,Hindi,1.00,HD
254,Colors Tamil,GEC,Tamil,3.00,SD
255,Cineplex HD,Movies,Hindi,5.00,HD
256,VH 1,Music,English,1.00,SD
257,Colors Tamil HD,GEC,Tamil,7.00,HD
258,MTV HD+,Music,Hindi,5.00,HD
259,Rishtey,GEC,Hindi,1.00,SD
260,Colors Kannada Cinema,Movies,Kannada,2.00,SD
261,Colors Gujarati Cinema,Movies,Gujarati,1.00,SD
262,Comedy Central,GEC,English,7.00,SD
263,Colors Bangla Cinema,Movies,Bangla,1.00,SD
264,Vijay TV,GEC,Tamil,17.00,SD
265,Vijay Super,GEC,Tamil,2.00,SD
266,Vijay HD,GEC,Tamil,19.00,HD
267,Asianet,Malayalam,GEC,19.00,SD
268,Asianet Plus,Malayalam,GEC,5.00,SD
269,Asianet Movies,Malayalam,Movies,15.00,SD
270,Suvarna Plus,Kannada,Movies,5.00,SD
271,Star Suvarna,Kannada,GEC,19.00,SD
272,Asianet HD,Malayalam,GEC,19.00,SD
273,Star Suvarna,Kannada,GEC,19.00,SD
274,24 Ghanta,News,Bangla,0.10,SD
275,Zee Bollywood,Movies,Hindi,2.00,SD
276,Zee Action,Movies,Hindi,1.00,SD
277,Zee Bangla Cinema,Movies,Bangla,5.00,SD
278,Zee Café HD,GEC,English,19.00,HD
279,Zee Café,GEC,English,15.00,SD
280,Zee Cinema,Movies,Hindi,19.00,SD
281,Zee Talkies,Movies,Marathi,12.00,SD
282,Zee TV,GEC,Hindi,19.00,SD
283,Zing,Music,Hindi,0.10,SD
284,& Picture,Movies,Hindi,10.00,SD
285,Zee Bangla,GEC,Bangla,19.00,SD
286,Zee Marathi,GEC,Marathi,19.00,SD
287,Living Foodz,Infotainment,English/Hindi,1.00,SD
288,Zee TV HD,GEC,Hindi,19.00,HD
289,Zee Cinema HD,Movies,Hindi,19.00,HD
290,& TV,GEC,Hindi,12.00,SD
291,& TV HD,GEC,Hindi,19.00,HD
292,Zee Kannada,GEC,Kannada,19.00,SD
293,Zee Telugu,GEC,Telugu,19.00,SD
294,& Pictures HD,Movies,English/Hindi,19.00,HD
295,Zee Cinemalu,Movies,Telugu,10.00,SD
296,Zee Yuva,GEC,Marathi,4.00,SD
297,Zee Marathi HD,GEC,Marathi,19.00,HD
298,Living Zen,Infotainment,Hindi,0.10,SD
299,& Prive HD,Movies,English,19.00,HD
300,Zee Bangla HD,GEC,Bangla,19.00,HD
301,Zee Tamil HD,GEC,Tamil,19.00,HD
302,Zee Cinemalu HD,Movies,Telugu,16.00,HD
303,Zee Telugu HD,GEC,Telugu,19.00,HD
304,Zee Tamil,GEC,Tamil,12.00,SD
305,Zee Kannada HD,GEC,Kannada,19.00,HD
306,Zee Anmol Cinema,Movies,Hindi,0.10,SD
307,& Flix HD,Movies,English,19.00,HD
308,& Flix,Movies,English,15.00,SD
309,Zee Keralam HD,GEC,Malayalam,8.00,HD
310,Zee Keralam,GEC,Malayalam,0.10,SD
311,Zee ETC,Music,Hindi,0.10,SD
312,Zee Anmol,GEC,Hindi,0.10,SD
313,Big Magic,GEC,Hindi,0.10,SD
314,Big Ganga,GEC,Bhojpuri,0.50,SD
315,Zee Talkies HD,Movies,Marathi,19.00,HD
316,Zee 24 Taas,News,Marathi,0.10,SD
317,Zee Odisha,News,Odia,0.10,SD
318,Zee Business,News,Hindi,0.10,SD
319,"Zee Punjab HaryanaHimachal",News,Hindi,0.10,SD
320,"Zee Madhya PradeshChattisgarh",News,Hindi,0.10,SD
321,Zee Salaam,News,Urdu,0.10,SD
322,Zee 24 Kalak,News,Hindi,0.10,SD
323,WION,News,Hindi,1.00,SD
324,"Zee Uttar PradeshUttrakhand",News,Hindi,0.10,SD
325,Zee Hindustan,News,Hindi,0.10,SD
326,Ezmall.com,Miscellaneous,Hindi,0.10,SD
327,Zee Bihar Jharkhand,News,Hindi,0.10,SD
328,Zee News,News,Hindi,0.10,SD
329,Zee Rajasthan News,News,Hindi,0.10,SD
330,Movies Now,Movies,English,10.00,SD
